order_name,family_name,is_areal,avibase_id,ebird_species_code,birds_of_the_world_url,common_name,scientific_name,soi_number_loggers_approx_raw,body_mass_g,tagged_previously
Passeriformes,Meliphagidae,False,AVIBASE-0A127E98,obshon1,https://birdsoftheworld.org/bow/species/obshon1/,Obscure Honeyeater,Caligavis obscura,,26.4,
Passeriformes,Thamnophilidae,False,AVIBASE-C2AB74DB,oceant1,https://birdsoftheworld.org/bow/species/oceant1/,Ocellated Antbird,Phaenostictus mcleannani,,51.1,
Passeriformes,Rhinocryptidae,False,AVIBASE-6B6D07C9,ocetap1,https://birdsoftheworld.org/bow/species/ocetap1/,Ocellated Tapaculo,Acropternis orthonyx,,89.9,
Passeriformes,Mimidae,False,AVIBASE-624FDE60,ocethr1,https://birdsoftheworld.org/bow/species/ocethr1/,Ocellated Thrasher,Toxostoma ocellatum,,84.3,
Passeriformes,Furnariidae,False,AVIBASE-BE5C3C11,ocewoo1,https://birdsoftheworld.org/bow/species/ocewoo1/,Ocellated Woodcreeper,Xiphorhynchus ocellatus,,36.7,
Passeriformes,Tyrannidae,False,AVIBASE-2896E1DB,ochatt1,https://birdsoftheworld.org/bow/species/ochatt1/,Ochraceous Attila,Attila torridus,,46.0,
Passeriformes,Pycnonotidae,False,AVIBASE-2BC35886,ochbul2,https://birdsoftheworld.org/bow/species/ochbul2/,Ochraceous Bulbul,Alophoixus ochraceus,,41.5,
Passeriformes,Tyrannidae,False,AVIBASE-EBB848CD,ochpew1,https://birdsoftheworld.org/bow/species/ochpew1/,Ochraceous Pewee,Contopus ochraceus,,23.0,
Passeriformes,Troglodytidae,False,AVIBASE-2E21DCF1,ochwre1,https://birdsoftheworld.org/bow/species/ochwre1/,Ochraceous Wren,Troglodytes ochraceus,,9.4,
Passeriformes,Tyrannidae,False,AVIBASE-8F6BF05C,ocbfly2,https://birdsoftheworld.org/bow/species/ocbfly2/,Ochraceous-breasted Flycatcher,Nephelomyias ochraceiventris,,10.5,
Passeriformes,Tyrannidae,False,AVIBASE-0EFCDBB8,ocbfly1,https://birdsoftheworld.org/bow/species/ocbfly1/,Ochre-bellied Flycatcher,Mionectes oleagineus,,11.2,
Passeriformes,Grallariidae,False,AVIBASE-051DF113,ocbant1,https://birdsoftheworld.org/bow/species/ocbant1/,Ochre-breasted Antpitta,Grallaricula flavirostris,,17.7,
Passeriformes,Passerellidae,False,AVIBASE-22518A82,obbfin1,https://birdsoftheworld.org/bow/species/obbfin1/,Ochre-breasted Brushfinch,Atlapetes semirufus,,30.7,
Passeriformes,Ptilonorhynchidae,False,AVIBASE-242ABF25,ocbcat1,https://birdsoftheworld.org/bow/species/ocbcat1/,Ochre-breasted Catbird,Ailuroedus stonii,,138.0,
Passeriformes,Furnariidae,False,AVIBASE-5A7FA9E2,obfgle2,https://birdsoftheworld.org/bow/species/obfgle2/,Ochre-breasted Foliage-gleaner,Anabacerthia lichtensteini,,21.0,
Passeriformes,Motacillidae,False,AVIBASE-28F81C1C,ocbpip1,https://birdsoftheworld.org/bow/species/ocbpip1/,Ochre-breasted Pipit,Anthus nattereri,,19.5,
