order_name,family_name,avibase_id,ebird_species_code,common_name,scientific_name,birds_of_the_world_url,current_body_mass_g,body_mass_g,note
Passeriformes,Paradisaeidae,AVIBASE-4BD91D48,paradi3,Obi Paradise-crow,Lycocorax obiensis,https://birdsoftheworld.org/bow/species/paradi3/,,,
Passeriformes,Muscicapidae,AVIBASE-742C395C,ryurob3,Okinawa Robin,Larvivora namiyei,https://birdsoftheworld.org/bow/species/ryurob3/,,,
Passeriformes,Muscicapidae,AVIBASE-E3760281,forrob6,Olive-backed Forest Robin,Stiphrornis pyrrholaemus,https://birdsoftheworld.org/bow/species/forrob6/,,,
Passeriformes,Tyrannidae,AVIBASE-737A9431,yebfly4,Olive-faced Flatbill,Tolmomyias viridiceps,https://birdsoftheworld.org/bow/species/yebfly4/,,,
Passeriformes,Pycnonotidae,AVIBASE-9A80B57C,,Olive-headed Greenbul,Arizelocichla striifacies,https://birdsoftheworld.org/bow/species/stfgre1/,,,
Passeriformes,Ploceidae,AVIBASE-2D3998EE,bknwea1,Olive-naped Weaver,Ploceus brachypterus,https://birdsoftheworld.org/bow/species/bknwea1/,,,
Passeriformes,Nectariniidae,AVIBASE-8885A375,olbsun4,Ornate Sunbird,Cinnyris ornatus,https://birdsoftheworld.org/bow/species/olbsun4/,,,
Passeriformes,Furnariidae,AVIBASE-09CA444F,palhor4,Pacific Hornero,Furnarius cinnamomeus,https://birdsoftheworld.org/bow/species/palhor4/,,,
Passeriformes,Hirundinidae,AVIBASE-466C01C2,pacswa4,Pacific Swallow,Hirundo javanica,https://birdsoftheworld.org/bow/species/pacswa1/,,,
Passeriformes,Furnariidae,AVIBASE-399DC574,buftuf3,Pacific Tuftedcheek,Pseudocolaptes johnsoni,https://birdsoftheworld.org/bow/species/buftuf3/,,,
Passeriformes,Acrocephalidae,AVIBASE-BBD2AC0C,pagrew1,Pagan Reed Warbler,Acrocephalus yamashinae,https://birdsoftheworld.org/bow/species/pagrew1/,,,
Passeriformes,Campephagidae,AVIBASE-D399D02C,cicada4,Palau Cicadabird,Edolisoma monacha,https://birdsoftheworld.org/bow/species/cicada4/,,,
Passeriformes,Corvidae,AVIBASE-D29583DE,slbcro7,Palawan Crow,Corvus pusillus,https://birdsoftheworld.org/bow/species/slbcro7/,,,
Passeriformes,Dicruridae,AVIBASE-57920319,paldro1,Palawan Drongo,Dicrurus palawanensis,https://birdsoftheworld.org/bow/species/paldro1/,,,
Passeriformes,Irenidae,AVIBASE-052BB649,asifab2,Palawan Fairy-bluebird,Irena tweeddalii,https://birdsoftheworld.org/bow/species/asifab2/,,,
Passeriformes,Nectariniidae,AVIBASE-29AC81C3,olbsun6,Palawan Sunbird,Cinnyris aurora,https://birdsoftheworld.org/bow/species/olbsun6/,,,
Passeriformes,Hirundinidae,AVIBASE-A97BDA84,,Pale Crag Martin,Ptyonoprogne obsoleta,https://birdsoftheworld.org/bow/species/rocmar1/,,,
Passeriformes,Pycnonotidae,AVIBASE-E68BC96B,sttbul2,Pale-eyed Bulbul,Pycnonotus davisoni,https://birdsoftheworld.org/bow/species/sttbul2/,,,
Passeriformes,Pycnonotidae,AVIBASE-9B0BF560,flabul3,Pale-faced Bulbul,Pycnonotus leucops,https://birdsoftheworld.org/bow/species/flabul3/,,,
Passeriformes,Furnariidae,AVIBASE-94499117,,Pale-tailed Canastero,Asthenes huancavelicae,,,,
Passeriformes,Pycnonotidae,AVIBASE-04E77EEF,,Pale-throated Greenbul,Atimastillas flavigula,https://birdsoftheworld.org/bow/species/patgre1/,,,
Passeriformes,Turdidae,AVIBASE-8CEAFB6E,,Papuan Island Thrush,Turdus papuensis,https://birdsoftheworld.org/bow/species/papist1/,,,
Passeriformes,Vireonidae,AVIBASE-14749B46,tacgre3,Para Greenlet,Tunchiornis rubrifrons,,,,
Passeriformes,Corvidae,AVIBASE-AC7128AC,labcro15,Philippine Jungle Crow,Corvus philippinus,https://birdsoftheworld.org/bow/species/labcro15/,,,
Passeriformes,Muscicapidae,AVIBASE-BCB949A5,whbsho7,Philippine Shortwing,Brachypteryx poliogyna,https://birdsoftheworld.org/bow/species/whbsho7/,,,
Passeriformes,Dicaeidae,AVIBASE-2A0A1DE3,mistle2,Pink-breasted Flowerpecker,Dicaeum keiense,https://birdsoftheworld.org/bow/species/pibflo1/,,,
Passeriformes,Furnariidae,AVIBASE-35F28244,lotwoo3,Piping Long-tailed Woodcreeper,Deconychura typica,https://birdsoftheworld.org/bow/species/lotwoo3/,,,
Passeriformes,Thraupidae,AVIBASE-9F3E8DF6,bkehem1,Piura Hemispingus,Sphenopsis piurae,,,,
Passeriformes,Furnariidae,AVIBASE-C9C15885,ruftho3,Plain Thornbird,Phacellodomus inornatus,https://birdsoftheworld.org/bow/species/ruftho3/,,,
Passeriformes,Alaudidae,AVIBASE-E944B680,,Plains Lark,Corypha kabalii,,,,
Passeriformes,Alaudidae,AVIBASE-34A04B56,runlar7,Plateau Lark,Corypha nigrescens,https://birdsoftheworld.org/bow/species/runlar7/,,,
Passeriformes,Campephagidae,AVIBASE-1B55137E,cicada3,Pohnpei Cicadabird,Edolisoma insperatum,https://birdsoftheworld.org/bow/species/cicada3/,,,
Passeriformes,Fringillidae,AVIBASE-9AC8AEA8,poouli,Poo-uli,Melamprosops phaeosoma,https://birdsoftheworld.org/bow/species/poouli/,,,
Passeriformes,Fringillidae,AVIBASE-DF48C724,anteup3,Puerto Rican Euphonia,Chlorophonia sclateri,https://birdsoftheworld.org/bow/species/anteup3/,,,
Passeriformes,Motacillidae,AVIBASE-19455D26,shbpip3,Puna Pipit,Anthus brevirostris,https://birdsoftheworld.org/bow/species/shbpip3/,,,
Passeriformes,Muscicapidae,AVIBASE-90473B60,refblu2,Qilian Bluetail,Tarsiger albocoeruleus,https://birdsoftheworld.org/bow/species/refblu2/,,,
Passeriformes,Ploceidae,AVIBASE-ECE36984,rehwea3,Red Weaver,Anaplectes jubaensis,https://birdsoftheworld.org/bow/species/rehwea3/,,,
Passeriformes,Ploceidae,AVIBASE-6A1F6033,recwid2,Red-cowled Widowbird,Euplectes laticauda,https://birdsoftheworld.org/bow/species/recwid2/,,,
Passeriformes,Timaliidae,AVIBASE-225EC685,,Red-eyed Scimitar Babbler,Erythrogenys imberbis,https://birdsoftheworld.org/bow/species/reescb1/,,,
Passeriformes,Hirundinidae,AVIBASE-A85102D3,,Red-throated Rock Martin,Ptyonoprogne rufigula,https://birdsoftheworld.org/bow/species/rocmar4/,,,
Passeriformes,Meliphagidae,AVIBASE-F1708B0F,dusmyz3,Red-tinged Myzomela,Myzomela rubrotincta,https://birdsoftheworld.org/bow/species/dusmyz3/,,,
Passeriformes,Alaudidae,AVIBASE-5F213A7D,,Red-winged Lark,Corypha hypermetra,https://birdsoftheworld.org/bow/species/rewlar1/,,,
Passeriformes,Meliphagidae,AVIBASE-67493A7E,redmyz3,Reddish Myzomela,Myzomela erythrina,https://birdsoftheworld.org/bow/species/redmyz3/,,,
Passeriformes,Acanthizidae,AVIBASE-72D0BE6E,fatger3,Rennell Gerygone,Gerygone citrina,https://birdsoftheworld.org/bow/species/fatger3/,,,
Passeriformes,Zosteropidae,AVIBASE-70452AB9,robwhe1,Robust White-eye,Zosterops strenuus,https://birdsoftheworld.org/bow/species/robwhe1/,,,
Passeriformes,Sturnidae,AVIBASE-C66353E1,rodsta2,Rodrigues Starling,Necropsar rodericanus,https://birdsoftheworld.org/bow/species/rodsta2/,,,
Passeriformes,Cardinalidae,AVIBASE-5DABDBB9,robcha3,Rose-bellied Chat,Granatellus paraensis,,,,
Passeriformes,Campephagidae,AVIBASE-D3CA1D45,comcic5,Rossel Cicadabird,Edolisoma rostratum,https://birdsoftheworld.org/bow/species/comcic5/,,,
Passeriformes,Tyrannidae,AVIBASE-F61CF239,roltyr3,Rough-legged Tyrannulet,Acrochordopus burmeisteri,https://birdsoftheworld.org/bow/species/roltyr3/,,,
Passeriformes,Tyrannidae,AVIBASE-A3E31B1F,brcfly3,Rufescent Flycatcher,Myiophobus rufescens,https://birdsoftheworld.org/bow/species/brcfly3/,,,
Passeriformes,Troglodytidae,AVIBASE-99A2DDD7,runwre4,Rufous-backed Wren,Campylorhynchus capistratus,https://birdsoftheworld.org/bow/species/runwre4/,,,
