order_name,family_name,avibase_id,ebird_species_code,common_name,scientific_name,birds_of_the_world_url,current_body_mass_g,body_mass_g,note
Passeriformes,Tyrannidae,AVIBASE-3F1D228C,moctyr6,Tumbesian Tyrannulet,Nesotriccus tumbezanus,https://birdsoftheworld.org/bow/species/moctyr6/,,,
Passeriformes,Fringillidae,AVIBASE-E35F8B09,ulahaw,Ula-ai-hawane,Ciridops anna,https://birdsoftheworld.org/bow/species/ulahaw/,,,
Passeriformes,Pachycephalidae,AVIBASE-FD8721C0,temwhi3,Utupua Whistler,Pachycephala utupuae,https://birdsoftheworld.org/bow/species/temwhi3/,,,
Passeriformes,Turdidae,AVIBASE-BEA75AF5,,Vanuatu Island Thrush,Turdus vanikorensis,https://birdsoftheworld.org/bow/species/vanist1/,,,
Passeriformes,Rhipiduridae,AVIBASE-82A3600C,strfan2,Vanuatu Streaked Fantail,Rhipidura spilodera,https://birdsoftheworld.org/bow/species/strfan2/,,,
Passeriformes,Monarchidae,AVIBASE-22D63D8D,,Vella Lavella Monarch,Symposiachrus nigrotectus,https://birdsoftheworld.org/bow/species/velmon1/,,,
Passeriformes,Monarchidae,AVIBASE-13696ACB,,Velvet Flycatcher,Myiagra eichhorni,https://birdsoftheworld.org/bow/species/velfly1/,,,
Passeriformes,Pipridae,AVIBASE-7C28B33B,bucman1,Velvety Manakin,Lepidothrix velutina,https://birdsoftheworld.org/bow/species/bucman1/,,,
Passeriformes,Oriolidae,AVIBASE-C8FDA81D,datori7,Ventriloquial Oriole,Oriolus consobrinus,https://birdsoftheworld.org/bow/species/datori7/,,,
Passeriformes,Furnariidae,AVIBASE-161CC4DB,marspi1,Vilcabamba Spinetail,Cranioleuca weskei,,,,
Passeriformes,Sturnidae,AVIBASE-DDF650D1,vibsta4,Vinous-breasted Myna,Acridotheres leucocephalus,https://birdsoftheworld.org/bow/species/vibsta4/,,,
Passeriformes,Campephagidae,AVIBASE-6A0DA75B,babcuc5,Visayan Cuckooshrike,Coracina panayensis,https://birdsoftheworld.org/bow/species/babcuc5/,,,
Passeriformes,Zosteropidae,AVIBASE-EAA91476,wawwhe1,Wangi-wangi White-eye,Zosterops paruhbesar,https://birdsoftheworld.org/bow/species/wawwhe1/,,,
Passeriformes,Paramythiidae,AVIBASE-9F080815,creber3,Western Crested Berrypecker,Paramythia olivacea,https://birdsoftheworld.org/bow/species/creber3/,,,
Passeriformes,Thraupidae,AVIBASE-F1F78380,bkehem3,Western Hemispingus,Sphenopsis ochracea,,,,
Passeriformes,Tyrannidae,AVIBASE-5F178C08,olifla2,Western Olivaceous Flatbill,Rhynchocyclus aequinoctialis,https://birdsoftheworld.org/bow/species/olifla2/,,,
Passeriformes,Falcunculidae,AVIBASE-E3B00D11,cresht2,Western Shriketit,Falcunculus leucogaster,https://birdsoftheworld.org/bow/species/cresht2/,,,
Passeriformes,Furnariidae,AVIBASE-BD6ADDF5,strwoo5,Western Woodhaunter,Automolus virgatus,https://birdsoftheworld.org/bow/species/strwoo5/,,,
Passeriformes,Oriolidae,AVIBASE-997885E0,timori3,Wetar Oriole,Oriolus finschi,https://birdsoftheworld.org/bow/species/timori3/,,,
Passeriformes,Thraupidae,AVIBASE-513E1AA9,turtan3,White-bellied Tanager,Tangara brasiliensis,https://birdsoftheworld.org/bow/species/turtan3/,,,
Passeriformes,Muscicapidae,AVIBASE-8C978D58,whrsha16,White-crowned Shama,Copsychus stricklandii,https://birdsoftheworld.org/bow/species/whrsha16/,,,
Passeriformes,Tyrannidae,AVIBASE-DEDA2050,roltyr1,White-fronted Tyrannulet,Acrochordopus zeledoni,https://birdsoftheworld.org/bow/species/roltyr1/,,,
Passeriformes,Rhipiduridae,AVIBASE-0F995883,cocfan4,White-gorgeted Fantail,Rhipidura coultasi,https://birdsoftheworld.org/bow/species/cocfan4/,,,
Passeriformes,Tityridae,AVIBASE-8B9C1238,whttit2,White-tailed Tityra,Tityra leucura,https://birdsoftheworld.org/bow/species/whttit2/,,,
Passeriformes,Furnariidae,AVIBASE-A3156CA9,cubscy5,Xingu Scythebill,Campylorhamphus multostriatus,https://birdsoftheworld.org/bow/species/cubscy5/,,,
Passeriformes,Campephagidae,AVIBASE-85C08691,cicada5,Yap Cicadabird,Edolisoma nesiotis,https://birdsoftheworld.org/bow/species/cicada5/,,,
Passeriformes,Muscicapidae,AVIBASE-2455B82B,forrob4,Yellow-breasted Forest Robin,Stiphrornis mabirae,https://birdsoftheworld.org/bow/species/forrob4/,,,
Passeriformes,Pycnonotidae,AVIBASE-1D9175EA,lesbri3,Yellow-eyed Bristlebill,Bleda ugandae,https://birdsoftheworld.org/bow/species/lesbri3/,,,
Passeriformes,Cardinalidae,AVIBASE-F455871D,cartan2,Yellow-lored Tanager,Chlorothraupis frenata,https://birdsoftheworld.org/bow/species/cartan2/,,,
Passeriformes,Passerellidae,AVIBASE-94135968,pecspa2,Yellow-mandibled Sparrow,Arremon axillaris,,,,
Passeriformes,Pachycephalidae,AVIBASE-C5A3350D,fijwhi1,Yellow-throated Fiji Whistler,Pachycephala graeffii,https://birdsoftheworld.org/bow/species/fijwhi1/,,,
Passeriformes,Tyrannidae,AVIBASE-F822D4C3,yemfly2,Yellow-winged Flatbill,Tolmomyias flavotectus,https://birdsoftheworld.org/bow/species/yemfly2/,,,
Passeriformes,Parulidae,AVIBASE-A74E673E,thswar2,Yungas Warbler,Basileuterus punctipectus,https://birdsoftheworld.org/bow/species/thswar2/,,,
Piciformes,Picidae,AVIBASE-D0951D61,berfli1,Bermuda Flicker,Colaptes oceanicus,https://birdsoftheworld.org/bow/species/berfli1/,,,
Piciformes,Megalaimidae,AVIBASE-E3ADA3B1,buebar1,Blue-eared Barbet,Psilopogon cyanotis,https://birdsoftheworld.org/bow/species/buebar1/,,,
Piciformes,Picidae,AVIBASE-C1941D4D,burwoo1,Buff-rumped Woodpecker,Meiglyptes grammithorax,https://birdsoftheworld.org/bow/species/burwoo1/,,,
Piciformes,Lybiidae,AVIBASE-80BC978E,yebbar5,Eastern Yellow-billed Barbet,Trachylaemus purpuratus,https://birdsoftheworld.org/bow/species/yebbar5/,,,
Piciformes,Picidae,AVIBASE-D0A5FADB,tulwoo3,Fine-banded Woodpecker,Campethera taeniolaema,https://birdsoftheworld.org/bow/species/tulwoo3/,,,
Piciformes,Picidae,AVIBASE-1661C375,norfli1,Guatemalan Flicker,Colaptes mexicanoides,https://birdsoftheworld.org/bow/species/norfli1/,,,
Piciformes,Picidae,AVIBASE-8AE05AA7,grefla4,Malabar Flameback,Chrysocolaptes socialis,https://birdsoftheworld.org/bow/species/grefla4/,,,
Piciformes,Picidae,AVIBASE-E5515964,crbwoo7,Necklaced Woodpecker,Dryobates pernyii,https://birdsoftheworld.org/bow/species/crbwoo7/,,,
Piciformes,Lybiidae,AVIBASE-E01F4BD7,,Northern Red-fronted Tinkerbird,Pogoniulus uropygialis,https://birdsoftheworld.org/bow/species/reftin1/,,,
Piciformes,Ramphastidae,AVIBASE-F15523C6,,Pale-mandibled Aracari,Pteroglossus erythropygius,,,,
Piciformes,Capitonidae,AVIBASE-080577D1,sirbar1,Sira Barbet,Capito fitzpatricki,https://birdsoftheworld.org/bow/species/sirbar1/,,,
Piciformes,Picidae,AVIBASE-DA98191C,crbwoo4,Splendid Woodpecker,Campephilus splendens,,,,
Piciformes,Lybiidae,AVIBASE-548EE951,,Western Yellow-billed Barbet,Trachylaemus goffinii,https://birdsoftheworld.org/bow/species/yebbar1/,,,
Strigiformes,Tytonidae,AVIBASE-4D590808,,American Barn Owl,Tyto furcata,,,,
Strigiformes,Strigidae,AVIBASE-5DB57235,sulsco5,Banggai Scops Owl,Otus mendeni,https://birdsoftheworld.org/bow/species/sulsco5/,,,
Strigiformes,Strigidae,AVIBASE-E553A88E,bswowl1,Bermuda Saw-whet Owl,Aegolius gradyi,https://birdsoftheworld.org/bow/species/bswowl1/,,,
Strigiformes,Tytonidae,AVIBASE-9E668317,,Eastern Barn Owl,Tyto javanica,https://birdsoftheworld.org/bow/species/eabowl1/,,,
Strigiformes,Strigidae,AVIBASE-733CBE2A,fraeao1,Fraser's Eagle-Owl,Ketupa poensis,https://birdsoftheworld.org/bow/species/fraeao1/,,,
Strigiformes,Strigidae,AVIBASE-8FB53639,solboo2,Guadalcanal Owl,Athene granti,https://birdsoftheworld.org/bow/species/solboo2/,,,
Strigiformes,Strigidae,AVIBASE-1F14F0A8,lauowl1,Laughing Owl,Ninox albifacies,https://birdsoftheworld.org/bow/species/lauowl1/,,,
Strigiformes,Strigidae,AVIBASE-15F7CE4C,grhowl2,Lesser Horned Owl,Bubo magellanicus,https://birdsoftheworld.org/bow/species/grhowl2/,,,
Strigiformes,Strigidae,AVIBASE-AB7D1006,solboo4,Makira Owl,Athene roseoaxillaris,https://birdsoftheworld.org/bow/species/solboo4/,,,
Strigiformes,Strigidae,AVIBASE-B901A687,solboo3,Malaita Owl,Athene malaitae,https://birdsoftheworld.org/bow/species/solboo3/,,,
Strigiformes,Strigidae,AVIBASE-653134CC,mausco1,Mauritius Scops Owl,Otus sauzieri,https://birdsoftheworld.org/bow/species/mausco1/,,,
Strigiformes,Strigidae,AVIBASE-C6277A45,prisco1,Principe Scops Owl,Otus bikegila,https://birdsoftheworld.org/bow/species/prisco1/,,,
Strigiformes,Strigidae,AVIBASE-42F88785,reusco1,Reunion Scops Owl,Otus grucheti,https://birdsoftheworld.org/bow/species/reusco1/,,,
Strigiformes,Strigidae,AVIBASE-180ED7CC,rodsco1,Rodrigues Scops Owl,Otus murivorus,https://birdsoftheworld.org/bow/species/rodsco1/,,,
Strigiformes,Strigidae,AVIBASE-2ED1B123,souboo3,Tasmanian Boobook,Ninox leucopsis,https://birdsoftheworld.org/bow/species/souboo3/,,,
Strigiformes,Strigidae,AVIBASE-20687BEA,solboo1,West Solomons Owl,Athene jacquinoti,https://birdsoftheworld.org/bow/species/solboo1/,,,
Strigiformes,Strigidae,AVIBASE-B4C59425,molsco2,Wetar Scops Owl,Otus tempestatis,https://birdsoftheworld.org/bow/species/molsco2/,,,
